# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	3398
#@/user_id	544a1c7e-cbba-49e6-a52e-1059a45da9cf
ai 	唉	c=1 d=1 t=588
an hei 	暗黑	c=3 d=1.461 t=604
an zhe 	按着	c=3 d=2.9459 t=3372
ba 	吧	c=2 d=1 t=3180
ba 	把	c=6 d=1.24378 t=3179
ban 	版	c=5 d=1.97047 t=2755
ban ben 	版本	c=1 d=1 t=3151
ban fa 	辦法	c=1 d=1 t=2776
bang ding 	綁定	c=1 d=1 t=747
bang mang 	幫忙	c=3 d=1.16981 t=2865
bang zhu 	幫助	c=1 d=1 t=372
bao 	包	c=1 d=1 t=1539
bao chi 	保持	c=3 d=1.00011 t=3190
bao cun 	保存	c=2 d=1.97045 t=3139
bao han 	包含	c=2 d=1.44297 t=1396
bao han dui xiang 	包含對象	c=1 d=1 t=19
bao han le 	包含了	c=1 d=1 t=51
bao han you 	包含有	c=1 d=1 t=36
bao kuo 	包括	c=4 d=1.59619 t=2424
bao liu 	保留	c=1 d=1 t=3138
bao qian 	抱歉	c=1 d=1 t=3358
bao tou 	包頭	c=1 d=1 t=1400
bao xian 	保險	c=0 d=0.1 t=1779
bao xian le 	保險了	c=1 d=1 t=1780
bao zheng 	保證	c=3 d=1.9158 t=3100
bei 	被	c=6 d=1.0319 t=2757
bei zhi xing 	被執行	c=1 d=1 t=1932
ben di 	本地	c=1 d=1 t=1676
ben jie 	本節	c=1 d=1 t=1529
ben shen 	本身	c=1 d=1 t=2687
ben ye 	本頁	c=1 d=1 t=3201
ben zhou 	本週	c=2 d=1.03065 t=2841
bi 	比	c=1 d=1 t=3374
bi jiao 	比較	c=4 d=1.2689 t=2589
bi jiao kuai 	比較塊	c=1 d=1 t=923
bi jiao shu 	比較熟	c=1 d=1 t=863
bi jing 	畢竟	c=1 d=1 t=740
bi mian 	避免	c=0 d=0.1 t=88
bi mian le 	避免了	c=1 d=1 t=89
bi ru 	比如	c=4 d=1.68755 t=2379
bian cheng 	變成	c=1 d=1 t=2769
bian liang 	變量	c=4 d=1.00626 t=1905
bian ma 	編碼	c=4 d=1.42548 t=3063
bian xie 	編寫	c=1 d=1 t=3115
bian yi 	編譯	c=6 d=1.10051 t=3135
bian yi jiao ben 	編譯腳本	c=1 d=1 t=2439
biao 	表	c=0 d=0.1 t=556
biao hong 	標紅	c=1 d=1 t=2500
biao ji 	標記	c=1 d=0.922835 t=2636
biao ji yi xia 	標記一下	c=1 d=1 t=2637
biao ming 	表明	c=2 d=1.81058 t=1359
biao shi 	標識	c=5 d=3.35133 t=1567
biao shi 	表示	c=2 d=1.00061 t=1496
biao ti 	標題	c=1 d=1 t=2050
biao zhun 	標準	c=1 d=1 t=953
bie 	別	c=0 d=0.1 t=2612
bie ren 	別人	c=1 d=1 t=857
bie wang ji 	別忘記	c=1 d=1 t=2613
