# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
ai 	唉	c=2 d=7.90975e-07 t=59920
ai 	愛	c=4 d=1.00207 t=21658
ai qu 	愛去	c=1 d=1 t=41511
ai ya 	哎呀	c=1 d=1 t=27460
an 	按	c=14 d=1.96561 t=54684
an gang 	鞍鋼	c=0 d=0.1 t=5788
an hei 	暗黑	c=3 d=1.25186e-06 t=59920
an kuai 	按塊	c=20 d=1 t=48784
an kuai fa song 	按塊發送	c=2 d=1 t=28159
an liu cheng 	按流程	c=1 d=1 t=52606
an pai 	安排	c=14 d=1.92817 t=52610
an quan 	安全	c=5 d=2.89058 t=46109
an quan lian jie 	安全鏈接	c=1 d=1 t=44850
an shi 	按時	c=3 d=1 t=16718
an xu 	按需	c=1 d=1 t=46037
an zhao 	按照	c=27 d=2.9339 t=55804
an zhe 	按着	c=3 d=2.58678 t=59920
an zhuang 	安裝	c=27 d=2.68488 t=58310
an zhuang bao 	安裝包	c=1 d=0.1 t=54148
an zhuang bao nei 	安裝包內	c=1 d=1 t=54149
an zhuang le 	安裝了	c=2 d=1 t=27839
an zhuang pan 	安裝盤	c=1 d=1 t=44195
ba 	八	c=1 d=1.056 t=42624
ba 	吧	c=307 d=0.336216 t=59920
ba 	巴	c=0 d=0.1 t=21329
ba 	把	c=164 d=0.416094 t=59920
ba cheng 	八成	c=1 d=1 t=53304
ba dian 	八點	c=1 d=1 t=29354
ba ke si 	巴克斯	c=1 d=1 t=21330
ba la 	巴拉	c=0 d=0.2 t=15435
ba la ba la 	巴拉巴拉	c=1 d=1 t=15436
ba ta 	把它	c=4 d=1.02139 t=16231
ba wo 	把我	c=2 d=1 t=58039
ba wo 	把握	c=1 d=1 t=58040
ba wo bu zhu 	把握不住	c=1 d=1 t=32683
ba xia 	拔下	c=1 d=1 t=26748
ba xian cheng 	八線程	c=1 d=1 t=42625
ba zu 	八組	c=12 d=10.7289 t=51388
bai 	白	c=1 d=1 t=19228
bai e 	白堊	c=0 d=0.1 t=7227
bai se 	白色	c=1 d=1 t=59776
bai tian 	白天	c=1 d=1 t=39298
bai tuo 	擺脫	c=2 d=1.01437 t=58873
bai tuo le 	擺脫了	c=1 d=1 t=58874
